Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
L2l4t8KiDgA,The 4-Step Formula to Outsell Anyone (Even in the Worst Markets),"Jun 1, 2026",3040,121,0:10:56,21.6,,,69,,,,,,2,0,6,0,100,2,1,121,22.0704,2,2247,3.87
Db7CKHoNqVA,The Weekly Planning System That Took Me From Salesman to CEO,"Jan 28, 2026",1140,119,0:06:51,36.13,,,11,,,,,,2,0,8,0,100,9,1,119,13.6144,2,1761,3.63
mdNnU66R_7Y,From Millionaire to working at a Gas Station [Full Interview with Josue Pena],"Oct 10, 2023",3503,112,0:06:15,10.71,,,14,,,,,,1,0,1,0,100,2,1,112,11.6706,1,697,4.3
9PVhiCe7kxo,The elite don’t just outwork you—they outgrow you,"Oct 9, 2025",48,111,0:00:21,45.06,31.43,,6,,,,,,0,0,5,0,100,0,0,303,0.7405,0,614,7.33
dtHhF8e6M0I,How to Build a World-Class Sales Team Without Babysitting Reps,"Oct 29, 2025",1653,111,0:05:20,19.36,,,3,,,,,,1,0,6,0,100,3,1,111,9.8681,1,2860,2.69
2Wot4s3N4OM,Too Honest To Be Good At Sales,"Dec 25, 2024",36,109,0:00:28,80.37,78.95,,11,,,,,,0,0,6,0,100,0,0,189,0.8862,0,1083,4.89
Dlvh9m_tfQk,Pushing Past Burnout & Limiting Beliefs,"Mar 13, 2024",2215,106,0:08:21,22.66,,,8,,,,,,4,0,1,0,100,3,0,106,14.7761,4,1972,3.5
j8CBMcApCJY,Do This To Overcome Sales Burnout,"Jan 12, 2026",45,101,0:01:11,159.98,33.44,,1,,,,,,1,0,5,0,100,0,0,307,2.0976,1,288,2.43
IM3KjFb5Zc4,The 50/150 rule #business #sales #salesman #salestips #money #work #books,"Mar 19, 2026",36,94,0:00:14,40.9,19.21,,4,,,,,,0,0,1,1,50,2,1,437,0.521,0,159,2.52
YFBbnDiI3b8,How to go from 100k to 500k+ in commissions,"Jan 17, 2025",46,94,0:00:37,80.57,79.31,,2,,,,,,0,0,5,0,100,3,0,159,0.9765,0,916,4.37
l3JJ-vNwX3k,More FIT equals more MONEY,"Feb 24, 2025",50,90,0:00:28,56.51,70.63,,1,,,,,,1,0,10,0,100,2,0,144,0.7206,1,714,5.18
Cr90D0XG2RM,Do This To Overcome Sales Burnout,"Jan 12, 2026",820,89,0:05:24,39.6,,,10,,,,,,0,1,2,0,100,4,0,89,8.0285,-1,1660,3.25
lokQJx8dH3o,How to DOUBLE SALES with ZERO SKILL,"Dec 26, 2024",202,89,0:01:39,49.04,,,6,,,,,,2,0,7,0,100,1,0,89,2.449,2,990,5.96
pbpJEe-Vld8,If you think reading makes you smart—you are stupid,"Jan 4, 2026",53,88,0:00:19,37.16,29.73,,2,,,,,,0,0,6,2,75,0,0,284,0.5459,0,328,7.93
K-MOWetQkoQ,Break the Addiction. Break Your Limits.,"Feb 14, 2026",720,87,0:04:00,33.42,,,7,,,,,,1,0,7,1,87.5,1,2,87,5.8155,1,4519,1.24
1A6smQyxprY,$0 to $35 MILLION in Sales: 3 Shifts Will Get You There (ft. Jeremy Miner) | Ep 41,"Dec 24, 2025",3064,86,0:02:36,5.1,,,0,,,,,,8,0,1,0,100,0,0,86,3.7351,8,954,5.35
5S3X71lyRBo,What is Sales about,"Oct 1, 2025",47,80,0:00:18,39.67,38.24,,3,,,,,,0,0,4,0,100,1,0,196,0.4613,0,423,3.55
9322y25U25Y,WHY People Are WRONG About SOLAR,"Dec 23, 2023",34,73,0:00:33,99.46,79.07,,16,,,,,,0,0,3,0,100,0,0,136,0.6933,0,592,6.59
_l14-RJ757w,How To Build A World Class Organization,"Mar 1, 2024",3069,69,0:03:08,6.13,,,4,,,,,,2,0,1,0,100,1,0,69,3.6072,2,1350,2.44
ZwgswZavJvE,Rocky Mountain power is awful!,"Jan 11, 2024",49,67,0:00:47,97.47,92.54,,7,,,,,,0,0,5,0,100,0,1,112,0.892,0,1022,4.5
Grd1rI8gZZ4,Saturdays are for the doors 🚪⁠,"Jun 1, 2024",47,67,0:00:52,110.93,91.43,,7,,,,,,0,0,7,0,100,1,0,124,0.9734,0,466,10.73
rmXxsstqM0E,Active vs Passive Income,"Feb 11, 2024",16,67,0:00:16,106.15,69.89,,12,,,,,,1,0,0,0,,0,0,126,0.3239,1,794,3.53
PZa7vozeKiY,Most Reps Misunderstand Referrals,"Feb 7, 2026",2855,67,0:09:34,20.14,,,5,,,,,,0,0,3,0,100,0,0,67,10.6994,0,1281,3.83
326zG8ccEHw,Your Team Isn’t Growing… Here’s Why,"Mar 29, 2026",3454,65,0:16:07,28.01,,,25,,,,,,0,0,4,0,100,5,1,65,17.4705,0,965,4.56
9ke1Z6IdgbY,The secret to becoming the best at anything,"Dec 19, 2024",34,65,0:00:29,86.73,79.75,,3,,,,,,0,0,6,0,100,0,0,116,0.5404,0,589,5.77
C0hwYVcK6dU,If you can sell your family you can sell anywhere,"Oct 20, 2023",51,65,0:00:42,83.99,70.45,,13,,,,,,0,0,5,0,100,2,0,110,0.7816,0,1391,2.59
UxeQfg_xGmg,From Abduction to Millionaire Sales Leader,"Jun 18, 2025",3470,62,0:07:15,12.55,,,3,,,,,,0,0,2,0,100,1,0,62,7.4985,0,1904,2.21
5DTQ7fL11Xc,Chaotic D2D Experience,"Dec 14, 2023",34,60,0:00:32,94.27,81.69,,13,,,,,,0,0,6,0,100,0,0,130,0.5402,0,452,9.73
yg4HAT8oVyo,Turning NO Into A SALE,"Dec 22, 2023",47,58,0:00:49,104.63,83.08,,9,,,,,,0,0,10,0,100,0,0,111,0.7961,0,549,6.19
t_phGPUlvCg,How To Set Goals & Guarantee Success,"Dec 24, 2025",1134,57,0:04:31,23.95,,,6,,,,,,2,0,3,0,100,0,0,57,4.3007,2,1863,1.72
i1uIiZvFEaE,Do YOU Like INFLATION?,"Jan 3, 2024",55,57,0:00:46,84.89,91.67,,9,,,,,,0,0,8,0,100,1,0,98,0.7415,0,459,7.41
ahic5dkkZ-4,Do This To Overcome Sales Burnout | Ep 50,"Jan 20, 2026",820,56,0:04:40,34.24,,,4,,,,,,0,0,1,0,100,0,0,56,4.3674,0,1937,0.98
KJR4VFqudAQ,Why Your Sales Team Keeps Quitting,"May 11, 2026",1564,55,0:05:35,21.43,,,42,,,,,,0,0,3,0,100,1,3,55,5.1205,0,2211,1.72
CY644riMgwY,FREE Sales Training Course - 10X Your Sales,"Jan 6, 2023",193,55,0:01:02,32.17,,,10,,,,,,0,0,3,0,100,0,1,55,0.9487,0,988,2.63
S_k_MxIbnu0,Ready to change your future? Let me coach you.,"May 30, 2024",48,53,0:00:47,98.57,89.47,,6,,,,,,0,0,2,0,100,1,0,95,0.6999,0,276,13.77
